_id,companyId,title,description,stipend,eligibility,currency,createdAt,updatedAt,__v
6996c95733bc1e3602c9ee4d,6996c7af33bc1e3602c9edf7,HR Interns ,"Finding Candidate for BPO Jobs \nScreening and Shortlisting Candidates \nUsing Naukri.com, Linkedin, Indeed to find Candidate .\nTaking Feedback of Candidates from Clients \nTaking Telephonic Interviews \nConducting Face to face Interviews \nHiring for MNC BPO Clients for All India ",10000,Any One Can Apply ,INR,2026-02-19T08:27:03.969Z,2026-02-19T08:27:03.969Z,0
69970c536d7844c9f4eb179d,6997029b6d7844c9f4eb16de,Content Creator,"About the Role\nWe are looking for a creative, detail-orientated, and self-driven Content Creator Intern to\njoin our team. This role is designed for students or fresh graduates who want to bridge the\ngap between academic knowledge and real-world marketing. You will be responsible for\nproducing engaging content across multiple platforms to strengthen our brand presence\nand support our marketing objectives.\nKey Responsibilities\n• Content Development: Assist in creating original content for social media\n(LinkedIn, Instagram), blogs, and email campaigns.\n• Multimedia Production: Create high-quality short-form videos (Reels/Shorts),\ngraphics, and written posts.\n• Strategy & Planning: Help plan and execute content calendars aligned with brand\ngoals.\n• Market Research: Conduct trend analysis and competitor studies to generate fresh\ncontent ideas.\n• Collaboration: Work with the marketing and technical teams to ensure content\naccuracy and consistency.\n• Optimisation: Learn to optimise content for SEO and platform algorithms.\nRequired Skills & Qualifications\n• Education: Currently pursuing or recently graduated with a degree in Marketing,\nCommunications, Media, Journalism, or a related field.\n• Writing Skills: Strong storytelling and visual communication abilities.\n• Technical Tools: Familiarity with tools like Canva, CapCut, Adobe Creative Suite, or\nsimilar.\n• Platform Knowledge: Hands-on experience with social media platforms (LinkedIn,\nInstagram, YouTube).\n• Mindset: Ability to multitask, meet deadlines, and a strong sense of aesthetics.\nWhat We Offer\n• Practical Mentorship: Hands-on experience with real-world projects and industry\ntools.\n• Certificate of Completion: An official internship certificate and Letter of\nRecommendation.\n• Career Growth: Potential for a Full-Time Offer (PPO) based on performance.\n• Creative Freedom: A dynamic environment that encourages new ideas and\nexperimentation.",10000,3rd year student,INR,2026-02-19T13:12:51.507Z,2026-02-19T13:12:51.507Z,0
6997e3dd73452e50b91e2e8f,69970a9d6d7844c9f4eb1754,PHP/Laravel Developer Intern,"We are looking for a motivated and passionate Laravel / PHP Developer Intern to join our development team. This internship will provide hands-on experience in building web applications using PHP and the Laravel framework. You will work closely with senior developers to design, develop, test, and maintain scalable web applications.",5000-7000,Any,INR,2026-02-20T04:32:29.492Z,2026-02-20T04:38:30.983Z,0
69983c4c73452e50b91e46c8,6997cda673452e50b91e2d49,VR developer ,"Role: Developing immersive environments and interactive mechanics for VR.\n\nTasks: Blueprinting/Coding, VR optimization, and integrating 3D assets into the engine.\n\nStipend: Project based stipend ",0,Open to all students ,INR,2026-02-20T10:49:48.318Z,2026-02-20T10:49:48.318Z,0
6998361073452e50b91e451a,6998319f73452e50b91e447d,Technical Application Intern ,"Assist in product configuration and application-level testing\n\nSupport client onboarding and basic technical troubleshooting\n\nWork closely with firmware, hardware, and operations teams\n\nHelp prepare technical documents, user guides, and reports\n\nSupport field deployments and installation coordination when required\n\nUnderstand client requirements and assist in solution mapping",15000,Final Year,INR,2026-02-20T10:23:12.174Z,2026-02-20T10:23:12.174Z,0
699720d2a18a326c1749df49,6996c79733bc1e3602c9ede5,HR Excutives Interns ,"Looking for HR Interns \n📢 HR INTERN VACANCY\n🏢 Company: Aneja Training and Placement\n📍 Location: Punjab / Tricity (Chandigarh, Mohali, Panchkula) / PAN India\n💼 Position: HR Intern (Recruitment / Talent Acquisition)\n🎓 Eligibility:\n• Freshers / Final-year students\n• MBA HR / BBA / B.Com / Any Graduate\n• Good communication & coordination skills\n• Basic knowledge of HR & recruitment (Training will be provided)\n🕒 Internship Duration: 1 – 6 Months\n⏰ Shift: Day Shift\n🗓 Working Days: 6 Days | 1 Weekly Off\n💰 Stipend: As per company policy / Performance-based\n📜 Benefits:\n• Internship Certificate\n• Letter of Recommendation (Performance-based)\n• Pre-Placement Offer (PPO) Opportunity\n• Practical exposure to HR & recruitment process\n📞 Apply Now:\n📲 Contact / WhatsApp HR: Varun\n📱 Mobile: 7696517846",10000,"2nd Year , 3Rd Year ",INR,2026-02-19T14:40:18.554Z,2026-02-19T14:40:18.554Z,0
6997e43d73452e50b91e2eb2,69970a9d6d7844c9f4eb1754,Graphic Designer Intern,We are looking for a creative and detail-oriented Graphic Designer Intern to join our team. This internship offers hands-on experience in designing visual content for digital and print platforms. You will work closely with the marketing and content teams to create engaging designs that align with our brand identity.,5000-7000,Any,INR,2026-02-20T04:34:05.074Z,2026-02-20T04:38:50.630Z,0
699c53bafdc0be04670e901b,699c4dab2ea03cf2c22fdda0,Data Science Intern,"Data Science Trainee\nCompany: eNest Technologies Private Limited\nLocation: Mohali (Onsite)\nPosition Type: Data Science Intern\n\nAbout eNest Technologies\neNest Technologies Private Limited is a technology-focused company delivering AI, Machine Learning, and Intelligent Automation solutions to global clients across healthcare, finance, logistics, and enterprise SaaS sectors. We specialize in building scalable ML models, predictive analytics systems, and production-ready AI workflows.\n\nWe are looking to onboard talented and motivated final-year students who are passionate about Data Science and want hands-on exposure to real-world AI systems.\n\nEligibility\nFinal Year B.Tech students (2026 passing out batch)\n\nBranches: Computer Science Engineering (CSE), AI & ML, Data Science, Information Technology, or related fields\nStrong academic foundation in Mathematics and Programming\n\nRole Overview\nThe selected candidate will work closely with senior data scientists and engineers on live client projects. This role provides exposure to the complete machine learning lifecycle — from data preprocessing and modeling to validation and deployment.\n\nKey Responsibilities\nPerform data cleaning, preprocessing, and exploratory data analysis (EDA)\nAssist in building and evaluating machine learning models\nWork on regression, classification, and clustering problems\nImplement ML algorithms using Python\nPrepare reports and data visualizations\nSupport model testing and performance evaluation\nCollaborate with development teams for integration support\n\nRequired Skills\nProficiency in Python\nUnderstanding of Statistics, Probability, and Linear Algebra\nFamiliarity with Pandas, NumPy, Scikit-learn\nBasic knowledge of SQL\nStrong analytical and problem-solving abilities\n\nPreferred (Good to Have)\nExposure to Deep Learning (TensorFlow/PyTorch)\nExperience with academic or personal ML projects\nFamiliarity with Git\n\nWhat We Offer\n\nReal-world industry exposure in AI/ML projects\nMentorship from experienced Data Science professionals\nPractical experience in production-level ML systems\nOpportunity for full-time employment based on performance\n\nApplication Process\nInterested final-year students may share their updated resume (along with GitHub/Project links, if available) at:\n\n📧 diptisharma@enestit.com\n\neNest Technologies Private Limited\nBuilding Intelligent Systems for Tomorrow’s Enterprises",10000-15000/month,4th year students,INR,2026-02-23T13:18:50.997Z,2026-02-23T13:18:50.997Z,0
699833cf73452e50b91e44b0,6998319f73452e50b91e447d,Software Engineer,"Contribute to production-grade applications built on JavaScript, Python, and MongoDB. You will develop and maintain scalable backend services, build responsive frontend interfaces using HTML/CSS/JS, and integrate REST APIs in a live development environment. We're looking for someone who writes clean code, understands data flow, and can independently debug across the full stack.",15000,Final Year,INR,2026-02-20T10:13:35.718Z,2026-02-20T10:13:35.718Z,0
69983b1973452e50b91e4639,6997cda673452e50b91e2d49,3D modeling ,"Role: Create 3D models and textures for specific project tasks.\n\nTasks: Modeling, UV unwrapping, and optimizing assets for game engines.\n\nStipend: Project based stipend ",0,Open to all students ,INR,2026-02-20T10:44:41.165Z,2026-02-20T10:44:41.165Z,0
